STT,Nhóm,Câu hỏi / Tình huống,Câu trả lời mẫu,Trạng thái duyệt,Ghi chú của sếp
1,Câu chào,Câu chào mở đầu (khi khách nhắn lần đầu),"Dạ xin chào anh/chị! Em có thể hỗ trợ anh/chị vấn đề gì ạ?",Chờ duyệt,
2,Câu chào,Khách chào lại / hỏi thăm,"Dạ em chào anh/chị ạ. Em nghe anh/chị.",Chờ duyệt,
3,Câu chào,Hỏi tên khách để xưng hô,"Dạ cho em xin phép hỏi tên anh/chị để em tiện xưng hô ạ.",Chờ duyệt,
4,Cảm ơn,Cảm ơn khi khách liên hệ,"Em cảm ơn anh/chị đã liên hệ với bên em ạ.",Chờ duyệt,
5,Cảm ơn,Cảm ơn khi khách kiên nhẫn chờ,"Em cảm ơn anh/chị đã vui lòng chờ ạ.",Chờ duyệt,
6,Cảm ơn,Cảm ơn khi khách phản hồi/góp ý,"Em cảm ơn anh/chị đã chia sẻ. Thông tin của anh/chị rất quý giá với bên em.",Chờ duyệt,
7,Xin lỗi,Xin lỗi chung khi có bất tiện,"Em xin lỗi anh/chị về sự bất tiện này ạ.",Chờ duyệt,
8,Xin lỗi,Xin lỗi khi chưa hiểu ý khách,"Xin lỗi anh/chị, em chưa hiểu rõ ý. Anh/chị có thể nói rõ hơn giúp em được không ạ?",Chờ duyệt,
9,Xin lỗi,Xin lỗi khi sai sót/nhầm lẫn,"Em rất xin lỗi về sai sót này ạ. Em sẽ kiểm tra và xử lý ngay cho anh/chị.",Chờ duyệt,
10,Xin lỗi,Xin lỗi khi không hỗ trợ được,"Em xin lỗi, yêu cầu này hiện em chưa thể hỗ trợ trực tiếp. Em xin phép chuyển tới bộ phận phụ trách và phản hồi lại anh/chị sớm nhất ạ.",Chờ duyệt,
11,Xin lỗi,Xin lỗi ngoài giờ làm việc,"Hiện tại đã ngoài giờ làm việc của bên em ạ. Em sẽ liên hệ lại với anh/chị ngay đầu giờ làm việc. Mong anh/chị thông cảm.",Chờ duyệt,
12,Hỗ trợ,Xin khách chờ trong lúc kiểm tra,"Anh/chị vui lòng giữ máy/chờ em một chút để em kiểm tra thông tin ạ.",Chờ duyệt,
13,Hỗ trợ,Xác nhận đã hiểu yêu cầu,"Dạ em đã nắm rõ yêu cầu của anh/chị ạ. Em xử lý ngay.",Chờ duyệt,
14,Kết thúc,Hỏi khách có cần gì thêm,"Anh/chị còn cần em hỗ trợ thêm vấn đề gì nữa không ạ?",Chờ duyệt,
15,Kết thúc,Câu tạm biệt,"Em cảm ơn anh/chị rất nhiều. Chúc anh/chị một ngày làm việc hiệu quả ạ!",Chờ duyệt,
16,Q&A đã trả lời,Tôi muốn edit 1 video có trong máy thì bắt đầu từ đâu?,"Gồm 4 bước: (1) Cài FFmpeg bằng brew install ffmpeg. (2) Clone repo về máy. (3) Copy video vào thư mục input/. (4) Chạy script phù hợp trong scripts/. Xem chi tiết trong scripts/README.md.",Chờ duyệt,
17,Q&A đã trả lời,Làm sao lấy đường dẫn file trên Mac?,"3 cách: (1) Kéo thả file từ Finder vào Terminal. (2) Click phải file, giữ Option, chọn ""Copy as Pathname"". (3) Chạy ls ~/Downloads để xem danh sách.",Chờ duyệt,
18,Q&A đã trả lời,FFmpeg là gì? Cài như thế nào?,"FFmpeg là công cụ dòng lệnh miễn phí để xử lý video/audio. Cài trên macOS: brew install ffmpeg. Kiểm tra: ffmpeg -version.",Chờ duyệt,
19,Q&A đã trả lời,Branch (nhánh) trong Git là gì?,"Branch là một bản sao độc lập của code, cho phép bạn làm việc mà không ảnh hưởng bản chính (main). Khi ổn rồi thì merge (gộp) vào main. Lệnh cơ bản: git branch, git checkout, git merge.",Chờ duyệt,
20,Q&A đã trả lời,Push code lên GitHub thì làm sao?,"Dùng lệnh: git push -u origin <tên-branch>. Nếu chưa commit thì cần git add + git commit trước.",Chờ duyệt,
21,Q&A đã trả lời,Bị lỗi 403 Permission denied khi push?,"Thường do GitHub App chưa được cài đủ quyền. Vào github.com/settings/installations → tab Installed GitHub Apps → Configure Claude → cấp quyền Read and write cho repo cần push.",Chờ duyệt,
22,Q&A đã trả lời,Video đã edit nằm ở đâu?,"Tất cả kết quả nằm trong thư mục output/ của dự án trên máy local. AI không thể edit giùm vì AI không truy cập được file trên máy bạn và môi trường chạy của AI không có FFmpeg.",Chờ duyệt,
23,Q&A đã trả lời,Clone repo về Mac như thế nào?,"cd ~/Desktop && git clone https://github.com/denhatmaitinh-crypto/video-edit-project.git && cd video-edit-project && git checkout claude/video-editing-guide-JVBHG",Chờ duyệt,
24,Q&A đã trả lời,Các script trong scripts/ có chức năng gì?,"15 script: info (xem info), trim (cắt), compress (nén), resize (đổi kích thước), crop (cắt khung), rotate (xoay), speed (tăng/giảm tốc), concat (nối), convert (đổi định dạng), mute (bỏ tiếng), extract-audio (tách tiếng), watermark (chèn logo), subtitle-burn (ghi phụ đề), to-gif (thành GIF), thumbnail (trích ảnh). Xem scripts/README.md.",Chờ duyệt,
25,Q&A đã trả lời,Làm sao cắt 1 đoạn video?,"./scripts/trim.sh input/video.mp4 output/cat.mp4 <start HH:MM:SS> <duration HH:MM:SS>. VD cắt từ giây 5, lấy 10 giây: trim.sh input/video.mp4 output/cat.mp4 00:00:05 00:00:10.",Chờ duyệt,
26,Q&A đã trả lời,Làm sao nén video cho nhẹ?,"./scripts/compress.sh input/video.mp4 output/nen.mp4 [CRF=28]. CRF càng cao càng nhẹ (28-32 vẫn xem tốt, 18-23 chất lượng cao).",Chờ duyệt,
27,Q&A đã trả lời,Làm sao resize video?,"./scripts/resize.sh input/video.mp4 output/720p.mp4 <width> <height>. Dùng -1 cho chiều tự tính theo tỉ lệ. VD xuống 720p: resize.sh input/video.mp4 output/720p.mp4 -1 720.",Chờ duyệt,
28,Q&A đã trả lời,Làm sao làm GIF từ video?,"./scripts/to-gif.sh input/video.mp4 output/demo.gif [start] [duration] [fps] [width]. VD: to-gif.sh input/video.mp4 output/demo.gif 0 3 15 480.",Chờ duyệt,
29,Q&A đã trả lời,Làm sao trích thumbnail?,"./scripts/thumbnail.sh input/video.mp4 output/thumb.jpg [time=00:00:01].",Chờ duyệt,
30,Q&A đã trả lời,Làm sao tách audio từ video?,"./scripts/extract-audio.sh input/video.mp4 output/audio.mp3.",Chờ duyệt,
